sample_id,geochronid,upbdata,geochron_data_table_link,local_path,download_status,download_error,size_bytes
133384,133384.1,GSWA_133384.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_133384.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_133384.1.txt,DOWNLOADED,,7209
177915,177915.1,GSWA_177915.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_177915.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_177915.1.txt,DOWNLOADED,,10578
177916,177916.1,GSWA_177916.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_177916.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_177916.1.txt,DOWNLOADED,,6564
181127,181127.1,GSWA_181127.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_181127.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_181127.1.txt,DOWNLOADED,,5774
185997,185997.1,GSWA_185997.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_185997.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_185997.1.txt,DOWNLOADED,,2206
203748,203748.1,,,,NO_LINK,Missing table link or filename,
211111,211111.1,GSWA_211111.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_211111.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_211111.1.txt,DOWNLOADED,,3314
211118,211118.1,GSWA_211118.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_211118.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_211118.1.txt,DOWNLOADED,,1359
214138,214138.1,GSWA_214138.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_214138.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_214138.1.txt,DOWNLOADED,,3270
214139,214139.1,GSWA_214139.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_214139.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_214139.1.txt,DOWNLOADED,,4067
214315,214315.1,GSWA_214315.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_214315.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_214315.1.txt,DOWNLOADED,,6248
220109,220109.1,GSWA_220109.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_220109.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_220109.1.txt,DOWNLOADED,,23091
220110,220110.1,GSWA_220110.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_220110.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_220110.1.txt,DOWNLOADED,,24029
226183,226183.1,GSWA_226183.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_226183.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_226183.1.txt,DOWNLOADED,,11296
226184,226184.1,GSWA_226184.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_226184.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_226184.1.txt,DOWNLOADED,,15856
226185,226185.1,GSWA_226185.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_226185.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_226185.1.txt,DOWNLOADED,,13343
226186,226186.1,GSWA_226186.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_226186.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_226186.1.txt,DOWNLOADED,,4228
229285,229285.1,GSWA_229285.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_229285.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_229285.1.txt,DOWNLOADED,,5482
229320,229320.1,GSWA_229320.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_229320.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_229320.1.txt,DOWNLOADED,,3582
229748,229748.1,GSWA_229748.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_229748.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_229748.1.txt,DOWNLOADED,,3710
231142,231142.1,GSWA_231142.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_231142.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_231142.1.txt,DOWNLOADED,,4909
231258,231258.1,GSWA_231258.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_231258.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_231258.1.txt,DOWNLOADED,,3397
231273,231273.1,GSWA_231273.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_231273.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_231273.1.txt,DOWNLOADED,,4150
242435,242435.1,GSWA_242435.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_242435.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_242435.1.txt,DOWNLOADED,,3382
242439,242439.1,GSWA_242439.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_242439.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_242439.1.txt,DOWNLOADED,,3801
242442,242442.1,GSWA_242442.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_242442.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_242442.1.txt,DOWNLOADED,,3766
242455,242455.1,GSWA_242455.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_242455.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_242455.1.txt,DOWNLOADED,,3333
242490,242490.1,GSWA_242490.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_242490.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_242490.1.txt,DOWNLOADED,,3131
242491,242491.1,GSWA_242491.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_242491.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_242491.1.txt,DOWNLOADED,,5331
242492,242492.1,GSWA_242492.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_242492.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_242492.1.txt,DOWNLOADED,,4878
242493,242493.1,GSWA_242493.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_242493.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_242493.1.txt,DOWNLOADED,,3672
242497,242497.1,GSWA_242497.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_242497.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_242497.1.txt,DOWNLOADED,,4575
242498,242498.1,GSWA_242498.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_242498.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_242498.1.txt,DOWNLOADED,,8383
242634,242634.1,GSWA_242634.1.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_242634.1.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_242634.1.txt,DOWNLOADED,,3775
242683,242683.1,,,,NO_LINK,Missing table link or filename,
248284,248284.2,GSWA_248284.2.txt,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/U-Pb/GSWA_248284.2.txt,/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_upb_tables/GSWA_248284.2.txt,DOWNLOADED,,4801
